component,type,version,license,source,commercial_use,status
CVI source code,source code,0.2.0 (0ba3b1b),None declared,https://github.com/GongJae00/canine_video_identity,UNVERIFIED,UNVERIFIED
MiewID-msv3 weights,pretrained model,4f1d7f2b521149e5fe34bb85f377248ce9971a7d,UNVERIFIED,https://huggingface.co/conservationxlabs/miewid-msv3,UNVERIFIED,UNVERIFIED
MiewID-msv3 model code,custom modeling code,4f1d7f2b521149e5fe34bb85f377248ce9971a7d,Apache-2.0,https://github.com/WildlifeDatasets/miewid,VERIFIED,VERIFIED_CODE_ONLY
MiewID-msv3 model card,model documentation,N/A,UNVERIFIED,https://huggingface.co/conservationxlabs/miewid-msv3,UNVERIFIED,UNVERIFIED
DINOv2 (dinov2_vits14),pretrained backbone,N/A,Apache 2.0,https://github.com/facebookresearch/dinov2,YES,VERIFIED
ConvNeXt-Base (convnext-base-224),pretrained backbone,N/A,CC-BY-NC 4.0,https://github.com/facebookresearch/ConvNeXt,NO,RESTRICTED
ONNX Runtime,ML runtime,>=1.27,MIT,https://github.com/microsoft/onnxruntime,YES,VERIFIED
FAISS (cpu/gpu),search library,>=1.7.4,MIT,https://github.com/facebookresearch/faiss,YES,VERIFIED
PyTorch,DL framework,>=2.7,BSD,https://github.com/pytorch/pytorch,YES,VERIFIED
timm,model zoo,N/A,Apache 2.0,https://github.com/huggingface/pytorch-image-models,YES,VERIFIED
transformers,model library,>=4.55,Apache 2.0,https://github.com/huggingface/transformers,YES,VERIFIED
Ultralytics,YOLO training,>=8.3,AGPL-3.0,https://github.com/ultralytics/ultralytics,conditional,VERIFIED
SuperAnimal (HRNet-W32),pretrained weights,N/A,UNVERIFIED,HF hub (not tracked),UNVERIFIED,UNVERIFIED
numpy,library,>=2.5,BSD-3-Clause,https://github.com/numpy/numpy,YES,VERIFIED
scikit-learn,library,>=1.9.0,BSD-3-Clause,https://github.com/scikit-learn/scikit-learn,YES,VERIFIED
Pillow,library,>=12.3,Historical MIT,https://github.com/python-pillow/Pillow,YES,VERIFIED
opencv-python-headless,library,>=4.13,MIT,https://github.com/opencv/opencv-python,YES,VERIFIED
